Unique Key,Month,Created Date,Agency Name,Complaint Type,Descriptor,Location Type,Landmark,Borough,Incident Zip,Latitude,Longitude,Location
38952542,April,4/16/2018 21:13,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,BRIZZI PLAYGROUND,BROOKLYN,11219,40.64242182,-73.99464544,"(40.64242181827441, -73.99464543680857)"
38727363,March,3/19/2018 15:40,New York City Police Department,Vending,Unlicensed,Park/Playground,CENTRAL PARK,MANHATTAN,10000,40.78229521,-73.96519444,"(40.782295208794295, -73.96519444362545)"
39035768,April,4/26/2018 17:09,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,CENTRAL PARK,MANHATTAN,10000,40.78229521,-73.96519444,"(40.782295208794295, -73.96519444362545)"
39045173,April,4/27/2018 14:55,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,WASHINGTON SQUARE PARK,MANHATTAN,10011,40.73088313,-73.99759338,"(40.730883132114464, -73.9975933816647)"
39051474,April,4/28/2018 16:35,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,CENTRAL PARK,MANHATTAN,10000,40.78229521,-73.96519444,"(40.782295208794295, -73.96519444362545)"
39053807,April,4/28/2018 10:13,Department of Parks and Recreation,DPR Internal,Aided/Injury,Recreation Center,EAST 54 STREET RECREATION CTR,MANHATTAN,10022,40.75652481,-73.96507436,"(40.75652480791106, -73.96507435728908)"
39055035,April,4/28/2018 13:45,Department of Parks and Recreation,DPR Internal,Aided/Injury,Recreation Center,EAST 54 STREET RECREATION CTR,MANHATTAN,10022,40.75652481,-73.96507436,"(40.75652480791106, -73.96507435728908)"
39055422,April,4/28/2018 14:01,New York City Police Department,Vending,In Prohibited Area,Park/Playground,CENTRAL PARK,MANHATTAN,10000,40.78229521,-73.96519444,"(40.782295208794295, -73.96519444362545)"
39057546,April,4/28/2018 11:47,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Park,UNION SQUARE PARK,MANHATTAN,10003,40.73595507,-73.99047744,"(40.73595506911933, -73.99047743742598)"
39054647,April,4/28/2018 17:33,Department of Transportation,Sidewalk Condition,Blocked - Construction,Sidewalk,GRANTS TOMB,MANHATTAN,10027,40.81341702,-73.96306119,"(40.813417016545515, -73.96306118523107)"
39073126,May,5/1/2018 20:24,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,PIER 26,MANHATTAN,10013,40.72139382,-74.01284309,"(40.721393816566334, -74.01284309058833)"
39075656,May,5/1/2018 15:34,Department of Parks and Recreation,DPR Internal,Property,Park,HUDSON RIVER PARK,MANHATTAN,10011,40.74980512,-74.00897956,"(40.74980512361341, -74.00897956095878)"
39076408,May,5/1/2018 15:51,New York City Police Department,Drinking,In Public,Park/Playground,CENTRAL PARK,MANHATTAN,10000,40.78229521,-73.96519444,"(40.782295208794295, -73.96519444362545)"
39077795,May,5/1/2018 17:57,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,CENTRAL PARK,MANHATTAN,10000,40.78229521,-73.96519444,"(40.782295208794295, -73.96519444362545)"
39079470,May,5/1/2018 20:04,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,PIER 26,MANHATTAN,10013,40.72139382,-74.01284309,"(40.721393816566334, -74.01284309058833)"
39081552,May,5/1/2018 16:40,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,UNION SQUARE PARK,MANHATTAN,10003,40.73595507,-73.99047744,"(40.73595506911933, -73.99047743742598)"
39140515,May,5/8/2018 12:50,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,CENTRAL PARK,MANHATTAN,10000,40.78229521,-73.96519444,"(40.782295208794295, -73.96519444362545)"
39116065,May,5/5/2018 10:41,Department of Parks and Recreation,DPR Internal,Aided/Injury,Park,WASHINGTON SQUARE PARK,MANHATTAN,10011,40.73088313,-73.99759338,"(40.730883132114464, -73.9975933816647)"
39118419,May,5/5/2018 13:38,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,CITY COLLEGE,MANHATTAN,10031,40.8181004,-73.9507496,"(40.818100397236414, -73.95074959686129)"
39127280,May,5/7/2018 11:44,Department of Parks and Recreation,Violation of Park Rules,Unlicensed Vendors,Park,CENTRAL PARK,MANHATTAN,10000,40.78229521,-73.96519444,"(40.782295208794295, -73.96519444362545)"
39139276,May,5/8/2018 14:33,New York City Police Department,Noise - Park,Loud Talking,Park/Playground,UNION SQUARE PARK,MANHATTAN,10003,40.73595507,-73.99047744,"(40.73595506911933, -73.99047743742598)"
39139324,May,5/8/2018 14:28,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,UNION SQUARE PARK,MANHATTAN,10003,40.73595507,-73.99047744,"(40.73595506911933, -73.99047743742598)"
39139413,May,5/8/2018 14:40,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,UNION SQUARE PARK,MANHATTAN,10003,40.73595507,-73.99047744,"(40.73595506911933, -73.99047743742598)"
39140716,May,5/8/2018 8:55,Department of Parks and Recreation,Animal in a Park,Injured Wildlife,Park,MORNINGSIDE PARK,MANHATTAN,10026,40.80577962,-73.95843822,"(40.80577962325473, -73.95843821630783)"
39144055,May,5/8/2018 14:33,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,UNION SQUARE PARK,MANHATTAN,10003,40.73595507,-73.99047744,"(40.73595506911933, -73.99047743742598)"
39289884,May,5/25/2018 22:38,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,MANHATTAN BRIDGE,MANHATTAN,10002,40.70960001,-73.99194203,"(40.70960001383794, -73.99194202586268)"
