Unique Key,Created Date,Agency Name,Complaint Type,Descriptor,Location Type,Landmark,Borough,Incident Zip,Latitude,Longitude,Location
40015026,8/15/2018 14:47,Department of Parks and Recreation,Violation of Park Rules,Unlicensed Vendors,Park,CITY HALL PARK,MANHATTAN,10007,40.71238602,-74.00687878,"(40.71238602419321, -74.00687878198517)"
40015504,8/15/2018 11:47,Department of Parks and Recreation,Animal in a Park,Removing Wildlife,Park,CENTRAL PARK,MANHATTAN,10000,40.78229521,-73.96519444,"(40.782295208794295, -73.96519444362545)"
40018622,8/15/2018 16:29,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,CENTRAL PARK,MANHATTAN,10000,40.78229521,-73.96519444,"(40.782295208794295, -73.96519444362545)"
40019913,8/15/2018 13:37,Department of Parks and Recreation,Violation of Park Rules,Unlicensed Vendors,Park,CENTRAL PARK,MANHATTAN,10000,40.78229521,-73.96519444,"(40.782295208794295, -73.96519444362545)"
40290743,9/15/2018 20:08,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,J HOOD WRIGHT PARK,MANHATTAN,10032,40.84642428,-73.94154446,"(40.84642428126738, -73.94154445831025)"
40292597,9/15/2018 13:32,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,CENTRAL PARK,MANHATTAN,10000,40.78229521,-73.96519444,"(40.782295208794295, -73.96519444362545)"
40548515,10/14/2018 12:10,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,CENTRAL PARK,MANHATTAN,10000,40.78229521,-73.96519444,"(40.782295208794295, -73.96519444362545)"
40554146,10/15/2018 9:43,Department of Parks and Recreation,Maintenance or Facility,Structure - Indoors,Park,RANDALLS ISLAND PARK,MANHATTAN,10035,40.79665495,-73.92382948,"(40.79665494538755, -73.92382948464403)"
39766064,7/18/2018 15:11,New York City Police Department,Vending,Unlicensed,Park/Playground,CENTRAL PARK,MANHATTAN,10000,40.78229521,-73.96519444,"(40.782295208794295, -73.96519444362545)"
39054647,4/28/2018 17:33,Department of Transportation,Sidewalk Condition,Blocked - Construction,Sidewalk,GRANTS TOMB,MANHATTAN,10027,40.81341702,-73.96306119,"(40.813417016545515, -73.96306118523107)"
39486054,6/17/2018 17:05,Department of Parks and Recreation,Animal in a Park,Removing Wildlife,Park,CENTRAL PARK,MANHATTAN,10000,40.78229521,-73.96519444,"(40.782295208794295, -73.96519444362545)"
39487984,6/17/2018 18:16,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Park,CENTRAL PARK,MANHATTAN,10000,40.78229521,-73.96519444,"(40.782295208794295, -73.96519444362545)"
40023894,8/16/2018 16:07,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Park,UNION SQUARE PARK,MANHATTAN,10003,40.73595507,-73.99047744,"(40.73595506911933, -73.99047743742598)"
40296472,9/16/2018 15:53,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Park,MORNINGSIDE PARK,MANHATTAN,10026,40.80577962,-73.95843822,"(40.80577962325473, -73.95843821630783)"
40299393,9/16/2018 15:14,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,UNION SQUARE PARK,MANHATTAN,10003,40.73595507,-73.99047744,"(40.73595506911933, -73.99047743742598)"
40299419,9/16/2018 14:41,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,CENTRAL PARK,MANHATTAN,10000,40.78229521,-73.96519444,"(40.782295208794295, -73.96519444362545)"
40825494,11/9/2018 11:12,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,Street,GRAND CENTRAL TERM,MANHATTAN,10017,40.75252054,-73.97730475,"(40.75252053759573, -73.97730475021692)"
39956234,8/8/2018 0:00,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,Restaurant/Bar/Deli/Bakery,GRAND CENTRAL TERM,MANHATTAN,10017,40.75252054,-73.97730475,"(40.75252053759573, -73.97730475021692)"
39487790,6/17/2018 21:49,Department of Parks and Recreation,DPR Internal,Aided/Injury,Park,HUDSON RIVER PARK,MANHATTAN,10011,40.74980512,-74.00897956,"(40.74980512361341, -74.00897956095878)"
39073126,5/1/2018 20:24,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,PIER 26,MANHATTAN,10013,40.72139382,-74.01284309,"(40.721393816566334, -74.01284309058833)"
39075656,5/1/2018 15:34,Department of Parks and Recreation,DPR Internal,Property,Park,HUDSON RIVER PARK,MANHATTAN,10011,40.74980512,-74.00897956,"(40.74980512361341, -74.00897956095878)"
39076408,5/1/2018 15:51,New York City Police Department,Drinking,In Public,Park/Playground,CENTRAL PARK,MANHATTAN,10000,40.78229521,-73.96519444,"(40.782295208794295, -73.96519444362545)"
39077795,5/1/2018 17:57,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,CENTRAL PARK,MANHATTAN,10000,40.78229521,-73.96519444,"(40.782295208794295, -73.96519444362545)"
39079470,5/1/2018 20:04,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,PIER 26,MANHATTAN,10013,40.72139382,-74.01284309,"(40.721393816566334, -74.01284309058833)"
39081552,5/1/2018 16:40,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,UNION SQUARE PARK,MANHATTAN,10003,40.73595507,-73.99047744,"(40.73595506911933, -73.99047743742598)"
39499219,6/18/2018 20:07,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Park,WASHINGTON SQUARE PARK,MANHATTAN,10011,40.73088313,-73.99759338,"(40.730883132114464, -73.9975933816647)"
40565511,10/16/2018 17:33,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,UNION SQUARE PARK,MANHATTAN,10003,40.73595507,-73.99047744,"(40.73595506911933, -73.99047743742598)"
40567180,10/16/2018 15:16,Department of Parks and Recreation,Maintenance or Facility,Structure - Indoors,Park,MCCAFFREY PLAYGROUND,MANHATTAN,10036,40.75898906,-73.99127549,"(40.75898906316527, -73.99127548580138)"
39140515,5/8/2018 12:50,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,CENTRAL PARK,MANHATTAN,10000,40.78229521,-73.96519444,"(40.782295208794295, -73.96519444362545)"
39116065,5/5/2018 10:41,Department of Parks and Recreation,DPR Internal,Aided/Injury,Park,WASHINGTON SQUARE PARK,MANHATTAN,10011,40.73088313,-73.99759338,"(40.730883132114464, -73.9975933816647)"
39118419,5/5/2018 13:38,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,CITY COLLEGE,MANHATTAN,10031,40.8181004,-73.9507496,"(40.818100397236414, -73.95074959686129)"
