Unique Key,Created Date,Agency Name,Complaint Type,Descriptor,Location Type,Landmark,Borough,Incident Zip,Latitude,Longitude,Location
39119956,5/6/2018 0:27,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,BROOKLYN MUSEUM,BROOKLYN,11238,40.67118702,-73.96375279,"(40.67118702447339, -73.96375278956437)"
39804873,7/22/2018 5:59,Department of Parks and Recreation,Damaged Tree,Entire Tree Has Fallen Down,Street,PROSPECT PARK,BROOKLYN,11215,40.6613542,-73.9696801,"(40.66135420007725, -73.96968010080575)"
40313223,9/18/2018 8:13,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,SUNSET PARK,BROOKLYN,11232,40.6480432,-74.00384148,"(40.64804319715383, -74.00384148403383)"
39548533,6/23/2018 18:05,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,SUNSET PARK,BROOKLYN,11232,40.6480432,-74.00384148,"(40.64804319715383, -74.00384148403383)"
40053195,8/19/2018 22:12,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,PROSPECT PARK,BROOKLYN,11215,40.6613542,-73.9696801,"(40.66135420007725, -73.96968010080575)"
39792539,7/20/2018 20:23,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,SUNSET PARK,BROOKLYN,11232,40.6480432,-74.00384148,"(40.64804319715383, -74.00384148403383)"
39799040,7/21/2018 7:18,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,SUNSET PARK,BROOKLYN,11232,40.6480432,-74.00384148,"(40.64804319715383, -74.00384148403383)"
39556359,6/24/2018 19:14,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,CONEY ISLAND HOSPITAL,BROOKLYN,11235,40.58615127,-73.9655919,"(40.586151272301464, -73.96559189570597)"
39526070,6/21/2018 17:52,New York City Police Department,Derelict Vehicle,With License Plate,Street/Sidewalk,PROSPECT PARK,BROOKLYN,11215,40.6613542,-73.9696801,"(40.66135420007725, -73.96968010080575)"
39128178,5/7/2018 10:48,Department of Parks and Recreation,DPR Internal,Aided/Injury,Park,MCCARREN PARK,BROOKLYN,11222,40.72084647,-73.95180273,"(40.72084647199604, -73.95180272776703)"
39134146,5/7/2018 14:17,Department of Parks and Recreation,DPR Internal,Property,Park,PROSPECT PARK,BROOKLYN,11215,40.6613542,-73.9696801,"(40.66135420007725, -73.96968010080575)"
39134774,5/7/2018 15:11,Department of Parks and Recreation,DPR Internal,Property,Park,MARINE PARK,BROOKLYN,11229,40.60081723,-73.93031161,"(40.60081722577983, -73.93031160938723)"
39285206,5/25/2018 6:01,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,SUNSET PARK,BROOKLYN,11232,40.6480432,-74.00384148,"(40.64804319715383, -74.00384148403383)"
39289883,5/25/2018 15:58,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,PROSPECT PARK,BROOKLYN,11215,40.6613542,-73.9696801,"(40.66135420007725, -73.96968010080575)"
39528465,6/21/2018 23:52,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,CUYLER GORE,BROOKLYN,11238,40.68566799,-73.97193702,"(40.68566799405615, -73.97193701639682)"
39318188,5/29/2018 23:59,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,BROOKLYN MUSEUM,BROOKLYN,11238,40.67118702,-73.96375279,"(40.67118702447339, -73.96375278956437)"
40067382,8/21/2018 8:08,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,PROSPECT PARK,BROOKLYN,11215,40.6613542,-73.9696801,"(40.66135420007725, -73.96968010080575)"
39801574,7/23/2018 0:20,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,NOSTRAND PLAYGROUND,BROOKLYN,11210,40.63833922,-73.94701612,"(40.638339218873256, -73.94701612438767)"
39855107,7/28/2018 17:46,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,PROSPECT PARK,BROOKLYN,11215,40.6613542,-73.9696801,"(40.66135420007725, -73.96968010080575)"
39144960,5/9/2018 20:26,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,SUNSET PARK,BROOKLYN,11232,40.6480432,-74.00384148,"(40.64804319715383, -74.00384148403383)"
39859037,7/28/2018 7:55,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,SUNSET PARK,BROOKLYN,11232,40.6480432,-74.00384148,"(40.64804319715383, -74.00384148403383)"
39555032,6/24/2018 20:14,Department of Parks and Recreation,Violation of Park Rules,BBQ Outside Authorized Area,Beach,SEASIDE PARK,BROOKLYN,11224,40.57506948,-73.97190429,"(40.575069476456186, -73.97190429053232)"
39161539,5/10/2018 8:36,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,SUNSET PARK,BROOKLYN,11232,40.6480432,-74.00384148,"(40.64804319715383, -74.00384148403383)"
39305221,5/28/2018 15:42,Department of Parks and Recreation,Violation of Park Rules,Unlicensed Vendors,Park,MARIA HERNANDEZ PARK,BROOKLYN,11237,40.70317707,-73.92386055,"(40.703177068089516, -73.92386055355293)"
